Magic Fish,,
Name,Type,Description
,,
Magic Fish of Nutrition,Striped Tigerfish,"With this fish in your tank, loss of health will not occur due to starvation."
,,
,,
Reserved,,
,,
,,
Magic Fish of Vigor,Tangerine Goldfish,"With this fish in your tank, sick fish have a better chance of being cured."
,,
,,
Magic Fish of Maturity,Canary Carp,"With this fish in your tank, young fish tend to grow more rapidly."
,,
,,
Magic Fish of Spawning,Razorback Flashfish,"With this fish in your tank, pregnant fish will produce an extra baby."
,,
,,
Reserved,,
,,
,,
Golden Guppy of Isola,Sapphire Angelfish,The golden guppy of Isola has been reborn! This legendary fish will certainly make you a rich breeder.
